año,trimestre,provincia,hasta_512kbps,512_kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,30mbps_x,otras_velocidades,total_x,accesos_100_hogares,banda_ancha_fija,dial_up,total_y
2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,5053,133819,44.9,133816,3,133819
2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,12755,260375,62.18,26036,15,260375
2021,3,Formosa,381,0,22778,7142,6978,1192,12707,1617,52795,33.96,52795,0,52795
2021,3,Jujuy,48,175,23884,16417,37755,561,29917,2401,111158,55.69,111158,0,111158
2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,4152,100487,84.28,100371,116,100487
2021,3,La Rioja,18,1,5366,5979,23315,4868,42613,0,8216,77.26,82157,3,8216
2021,3,Mendoza,36,31,151871,1264,62628,7596,21087,50,255939,45.55,25532,619,255939
2021,3,Misiones,51,5,41932,25099,26079,14792,42291,8279,158528,45.57,158528,0,158528
2021,3,Neuquén,112,327,57441,8566,6234,3631,57919,5579,139809,69.71,139436,373,139809
2021,3,Río Negro,125,557,68991,373,1488,2282,34011,20009,144585,61.97,144084,501,144585
2021,3,Salta,101,20,41431,70104,6962,3878,6701,6327,195833,55.96,195831,2,195833
2021,3,San Juan,18,333,59873,752,1325,338,278,4641,79483,39.46,79227,256,79483
2021,3,San Luis,60,0,11552,2405,6491,67942,22,29392,117864,79.87,117716,148,117864
2021,3,Santa Cruz,50,0,30561,8365,6799,1788,678,735,48976,43.75,48779,197,48976
2021,3,Santa Fe,467,579,193207,20125,83941,5508,290793,16267,841584,75.02,841433,151,841584
2021,3,Santiago Del Estero,123,909,32752,61838,11274,801,6863,898,115458,47.0,115457,1,115458
2021,3,Tierra Del Fuego,17,0,23723,13397,9782,1433,976,895,50223,94.95,49934,289,50223
2021,3,Tucumán,32,97,39446,50293,21986,53,115154,164,232472,54.64,232447,25,232472
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108,4132351,70.0,4127167,5184,4132351
2021,2,Capital Federal,294,603,157558,73568,43859,86655,1037752,66,1400355,110.14,1398747,1608,1400355
2021,2,Catamarca,71,0,7219,9091,6828,4941,25388,2206,55744,52.34,55743,1,55744
2021,2,Chaco,301,112,23444,21574,24032,16069,47239,7958,140729,43.33,140726,3,140729
2021,2,Chubut,104,105,89639,22605,16604,3896,1112,5172,139237,72.29,138412,825,139237
2021,2,Córdoba,99,2452,201757,136516,6695,70824,442357,9925,93088,80.12,930818,62,93088
2021,2,Corrientes,67,645,29419,27037,24524,10059,32697,5053,129501,43.54,129498,3,129501
2021,2,Entre Ríos,107,3024,63518,55349,39468,18484,61605,16077,257632,61.66,257617,15,257632
2021,2,Formosa,381,0,22364,731,746,1341,11077,1618,51551,33.23,51551,0,51551
2021,2,Jujuy,48,175,24182,16577,37908,607,2995,2401,111848,56.18,111848,0,111848
2021,2,La Pampa,298,554,64146,7769,8128,3399,9311,4062,97667,82.08,97551,116,97667
2021,2,La Rioja,18,1,5312,5971,23298,4825,42158,19,81602,76.98,81599,3,81602
2021,2,Mendoza,36,31,137462,10886,56117,4403,20686,50,229671,40.97,229052,619,229671
2021,2,Misiones,51,5,41643,25907,25811,16172,38308,8279,156176,45.01,156176,0,156176
2021,2,Neuquén,112,327,57713,8631,5871,5943,54008,5645,13825,69.14,137877,373,13825
2021,2,Río Negro,125,557,69356,3663,15019,3867,31488,20009,144084,61.94,143583,501,144084
2021,2,Salta,101,20,42543,67012,7099,9654,58882,6328,191639,54.93,191637,2,191639
2021,2,San Juan,18,333,59989,784,1255,340,278,4641,78933,39.28,78677,256,78933
2021,2,San Luis,60,0,11752,2703,5418,65946,22,36917,122818,83.48,12267,148,122818
2021,2,Santa Cruz,50,0,30595,8463,6888,1575,676,735,48982,44.01,48785,197,48982
2021,2,Santa Fe,467,896,202018,204077,80452,75195,262124,15371,8406,75.07,840449,151,8406
2021,2,Santiago Del Estero,123,909,32034,62224,10359,811,6064,1566,11409,46.56,114089,1,11409
2021,2,Tierra Del Fuego,17,0,21335,6913,458,476,889,1483,35693,67.89,35404,289,35693
2021,2,Tucumán,32,97,40224,51648,23732,5022,109616,268,233051,54.93,233026,25,233051
2021,1,Buenos Aires,36939,31187,1108368,24052,163747,222061,2246313,10867,4060002,69.11,4054936,5066,4060002
2021,1,Capital Federal,135,244,159662,76753,56457,83255,1003041,126,1379673,108.42,1378283,139,1379673
2021,1,Catamarca,71,0,7423,8455,10115,712,22996,2196,51968,48.9,51967,1,51968
2021,1,Chaco,301,112,24357,22102,27556,14496,42462,8384,13977,43.14,139767,3,13977
2021,1,Chubut,106,109,86986,21401,15392,2844,1112,439,13234,68.99,131515,825,13234
2021,1,Córdoba,93,2386,211799,135092,74659,71984,402191,12677,910881,78.59,910826,55,910881
2021,1,Corrientes,67,527,31544,26223,26169,9001,27641,5453,126625,42.66,126622,3,126625
2021,1,Entre Ríos,105,2911,67255,5606,42432,15774,546,12826,251963,60.44,25195,13,251963
2021,1,Formosa,56,0,22409,7569,7916,1215,9579,1942,50686,32.73,50686,0,50686
2021,1,Jujuy,49,175,23735,17293,40649,568,25609,2378,110456,55.63,110456,0,110456
2021,1,La Pampa,298,554,682,7864,7611,2786,7368,2424,97105,81.78,96989,116,97105
2021,1,La Rioja,18,1,36749,5968,4604,215,5074,-1,52628,49.81,52625,3,52628
2021,1,Mendoza,28,40,134386,11216,52533,4061,16615,44,218923,39.15,218308,615,218923
2021,1,Misiones,51,524,40949,25503,27101,1405,32953,8256,149387,43.17,149387,0,149387
2021,1,Neuquén,116,327,56171,8443,5903,5677,5084,5758,133235,66.84,132862,373,133235
2021,1,Río Negro,125,466,70011,4187,13045,3642,29589,20103,141168,60.88,140667,501,141168
2021,1,Salta,109,20,40785,68149,9164,8139,54889,6319,187574,53.93,187572,2,187574
2021,1,San Juan,25,194,60439,858,11494,340,276,4641,78267,39.06,78011,256,78267
2021,1,San Luis,58,0,11889,2926,4429,62913,22,36917,119154,81.24,119006,148,119154
2021,1,Santa Cruz,50,0,30655,8334,6987,1337,647,-1945,46065,41.65,45868,197,46065
2021,1,Santa Fe,518,891,201632,204458,91846,65476,236924,24382,826127,73.92,82599,137,826127
2021,1,Santiago Del Estero,123,909,33884,58464,8549,700,4868,4144,111641,45.67,11164,1,111641
2021,1,Tierra Del Fuego,17,0,21379,1468,4317,486,919,11836,40422,77.35,40133,289,40422
2021,1,Tucumán,29,97,4281,53416,25255,4188,103437,268,231912,54.82,23189,22,231912
2020,4,Buenos Aires,36939,31197,1109865,242243,214171,213588,2176242,9016,4033261,68.98,4028195,5066,4033261
2020,4,Capital Federal,135,244,16021,78123,60208,80269,1000073,268,1379530,108.31,1378140,139,1379530
2020,4,Catamarca,71,0,8843,874,11436,591,20406,2309,52396,49.41,52395,1,52396
2020,4,Chaco,301,112,24782,22479,26802,15701,40949,7965,139091,43.03,139088,3,139091
2020,4,Chubut,106,109,88157,21824,12046,2818,1112,4402,130574,68.35,129749,825,130574
2020,4,Córdoba,119,2386,214963,135262,82221,70013,384169,13568,902701,78.08,902646,55,902701
2020,4,Corrientes,67,527,319,26321,25687,9383,26789,4985,125659,42.43,125656,3,125659
2020,4,Entre Ríos,105,2911,65659,53556,40755,166,53141,14654,247381,59.47,247368,13,247381
2020,4,Formosa,56,0,2354,7606,7181,1197,8946,168,50206,32.49,50206,0,50206
2020,4,Jujuy,49,182,23772,14379,4493,446,19282,2811,105851,53.46,105851,0,105851
2020,4,La Pampa,298,554,70184,8124,6562,2396,6257,252,96895,81.77,96779,116,96895
2020,4,La Rioja,18,1,36906,606,4633,181,4979,0,52778,50.11,52775,3,52778
2020,4,Mendoza,28,40,146312,11172,40396,3378,11557,257,215453,38.63,214838,615,215453
2020,4,Misiones,51,524,39988,26078,26445,1481,32264,7001,147161,42.64,147161,0,147161
2020,4,Neuquén,116,327,56434,8478,5791,5493,50776,572,133135,67.0,132762,373,133135
2020,4,Río Negro,125,466,70305,4153,13131,3512,29372,20146,14121,61.09,140709,501,14121
2020,4,Salta,109,514,41443,68829,15188,8291,46697,6319,18739,54.04,187388,2,18739
2020,4,San Juan,25,194,61316,740,5126,332,275,4588,72596,36.32,7234,256,72596
2020,4,San Luis,58,0,1402,349,2688,62239,22,36918,119435,81.68,119287,148,119435
2020,4,Santa Cruz,47,0,27173,4382,6634,1033,647,758,40674,37.0,40477,197,40674
2020,4,Santa Fe,518,891,206372,203793,94246,65145,226246,23602,820813,73.58,820676,137,820813
2020,4,Santiago Del Estero,123,909,34518,5759,4666,411,452,3932,106669,43.75,106668,1,106669
2020,4,Tierra Del Fuego,17,0,21881,6119,3497,488,922,669,39614,76.27,39325,289,39614
2020,4,Tucumán,29,97,44095,54334,32155,4105,93594,268,231089,54.78,231067,22,231089
2020,3,Buenos Aires,37542,31514,1113823,23471,219772,194248,2085815,19853,3937277,67.66,3932211,5066,3937277
2020,3,Capital Federal,264,312,162222,85083,68753,78028,977766,247,1372675,107.68,1371285,139,1372675
2020,3,Catamarca,63,0,8276,8768,11195,562,18886,2154,49904,47.16,49903,1,49904
2020,3,Chaco,308,112,24675,21639,27546,13751,38729,7194,133954,41.54,133951,3,133954
2020,3,Chubut,158,109,87559,22114,12217,2818,111,3942,130027,68.34,129202,825,130027
2020,3,Córdoba,168,3064,218599,124833,84236,63823,361021,11728,867472,75.22,867417,55,867472
2020,3,Corrientes,72,527,3519,23315,25308,8615,25344,502,123391,41.75,123388,3,123391
2020,3,Entre Ríos,130,2911,66648,51478,40797,14377,49395,15759,241495,58.19,241482,13,241495
2020,3,Formosa,391,151,23163,7432,7125,991,8219,1737,49209,31.91,49209,0,49209
2020,3,Jujuy,55,182,32131,10566,45198,293,15238,3065,106728,54.04,106728,0,106728
2020,3,La Pampa,293,810,66695,782,5577,2189,6322,4029,93735,79.26,93619,116,93735
2020,3,La Rioja,21,1,37105,5955,466,124,4748,2,52616,50.12,52613,3,52616
2020,3,Mendoza,58,40,141404,12123,42433,3448,8237,45,207788,37.35,207173,615,207788
2020,3,Misiones,71,524,39005,24215,25942,13663,30987,8779,143186,41.6,143186,0,143186
2020,3,Neuquén,218,327,60463,6561,5975,5449,49439,803,129235,65.24,128862,373,129235
2020,3,Río Negro,114,466,68986,3769,7096,3455,28488,19093,131467,57.05,130966,501,131467
2020,3,Salta,129,514,3278,64736,1599,7928,43773,14996,180846,52.32,180844,2,180846
2020,3,San Juan,48,194,65526,711,6529,41,128,415,77327,38.79,77071,256,77327
2020,3,San Luis,105,0,12199,3351,2666,61319,8,36917,116565,79.96,116417,148,116565
2020,3,Santa Cruz,66,0,26888,4015,673,629,120,833,39281,35.95,39084,197,39281
2020,3,Santa Fe,568,1241,213353,199381,92095,58797,210562,27001,802998,72.12,802861,137,802998
2020,3,Santiago Del Estero,133,909,33287,57418,4658,292,3994,4801,105492,43.38,105491,1,105492
2020,3,Tierra Del Fuego,11,0,22094,5414,3726,481,937,6992,39655,76.81,39366,289,39655
2020,3,Tucumán,52,97,45913,5461,33126,3246,84195,2637,223876,53.23,223854,22,223876
2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546,65.22,3772480,5066,3777546
2020,2,Capital Federal,264,312,166474,94585,79858,8016,935481,687,1357821,106.41,1356431,139,1357821
2020,2,Catamarca,63,0,8801,869,10242,426,16578,3176,47976,45.43,47975,1,47976
2020,2,Chaco,308,928,2435,2114,29044,12082,33311,6969,128132,39.83,128129,3,128132
2020,2,Chubut,158,109,69578,22188,10537,1473,614,3999,108656,57.34,107831,825,108656
2020,2,Córdoba,168,4383,219025,125932,8953,63216,325243,8971,836468,72.71,836413,55,836468
2020,2,Corrientes,72,527,34242,22845,25844,7898,22418,502,118866,40.3,118863,3,118866
2020,2,Entre Ríos,130,3679,66758,5064,4209,12856,43391,14569,234113,56.54,2341,13,234113
2020,2,Formosa,391,151,23534,7109,6998,961,7475,1313,47932,31.14,47932,0,47932
2020,2,Jujuy,55,182,30548,10519,26829,209,9417,16557,94316,47.89,94316,0,94316
2020,2,La Pampa,293,810,71218,7531,38,1657,3377,1123,89809,76.1,89693,116,89809
2020,2,La Rioja,21,1,37375,5661,4686,73,4336,2,52155,49.84,52152,3,52155
2020,2,Mendoza,58,40,142253,12439,35274,3248,5422,245,201184,36.25,200569,615,201184
2020,2,Misiones,71,524,39867,23719,26445,12305,28763,8646,14034,40.89,14034,0,14034
2020,2,Neuquén,218,327,61171,6103,6625,5296,46432,0,126172,63.9,125799,373,126172
2020,2,Río Negro,114,466,70817,3335,7498,3246,26953,17057,129486,56.37,128985,501,129486
2020,2,Salta,129,514,41801,64463,16989,7741,39594,6531,177762,51.58,17776,2,177762
2020,2,San Juan,48,194,59113,917,4908,40,127,443,69777,35.09,69521,256,69777
2020,2,San Luis,105,0,11439,3585,1934,60889,8,35992,113952,78.41,113804,148,113952
2020,2,Santa Cruz,66,0,26938,4166,6541,546,119,493,38869,35.79,38672,197,38869
2020,2,Santa Fe,568,2061,213054,198772,96575,57236,189473,20193,777932,70.0,777795,137,777932
2020,2,Santiago Del Estero,133,1779,32557,57709,5178,247,3328,4516,105447,43.47,105446,1,105447
2020,2,Tierra Del Fuego,11,0,22325,5186,3034,391,796,7446,39189,76.37,389,289,39189
2020,2,Tucumán,52,97,49028,54537,34184,2246,74377,2635,217156,51.78,217134,22,217156
2020,1,Buenos Aires,38215,36802,1122034,236421,247977,20578,1802583,28935,3718747,64.33,3702985,5066,3708051
2020,1,Capital Federal,264,312,169651,102254,89665,85899,906009,0,1354054,105.98,1352104,139,1353494
2020,1,Catamarca,63,0,8838,7543,9558,408,10299,2151,3886,37.62,39634,1,39635
2020,1,Chaco,308,928,23291,19976,29851,10416,28539,6917,120226,37.48,120274,3,120277
2020,1,Chubut,158,109,69586,12957,7756,124,614,45,9692,51.27,95938,800,96738
2020,1,Córdoba,142,5128,217229,120188,95827,65733,296875,9802,810924,70.69,811044,55,811099
2020,1,Corrientes,72,527,33479,21382,26679,7351,19467,478,113737,38.73,113967,3,11397
2020,1,Entre Ríos,130,4081,7228,47132,41125,11988,39794,13762,230292,56.12,231833,13,231846
2020,1,Formosa,1127,342,23761,65,6564,964,6918,100,46276,30.23,46434,0,46434
2020,1,Jujuy,55,182,3312,9979,26693,166,7349,16545,94089,46.67,91665,0,91665
2020,1,La Pampa,293,811,7274,7199,3029,1342,2113,1618,89145,75.77,8911,116,89226
2020,1,La Rioja,21,1,37209,5158,464,22,1294,0,48345,46.35,48337,3,4834
2020,1,Mendoza,58,40,14041,12285,17489,286,3818,0,17696,33.14,182837,615,183452
2020,1,Misiones,71,524,36622,21271,26433,11581,26313,10885,1337,39.02,133552,0,133552
2020,1,Neuquén,218,327,60152,5257,7123,5399,43738,0,122214,61.85,121354,373,121727
2020,1,Río Negro,114,466,69154,293,7857,3199,25488,17719,126927,55.12,125699,501,1262
2020,1,Salta,129,514,38537,63714,17991,8625,34744,6441,170695,49.6,170379,2,170381
